"term","meaning_ja","pos","level","entry_type","example_sentence","example_translation_ja"
"이것","これ","pronoun","1","word","‹이것›은 뭐예요?","‹これ›は何ですか？"
"그것","それ","pronoun","1","word","‹그것› 좀 보여 주세요.","‹それ›をちょっと見せてください。"
"저것","あれ","pronoun","1","word","‹저것›은 얼마예요?","‹あれ›はいくらですか？"
"무엇","何","pronoun","1","word","‹무엇›을 해요?","‹何›をしますか？"
"누구","誰","pronoun","1","word","‹누구›를 기다려요?","‹誰›を待っていますか？"
"어디","どこ","pronoun","1","word","집이 ‹어디›예요?","家は‹どこ›ですか？"
"이","この","determiner","1","word","‹이› 책은 재미있어요.","‹この›本は面白いです。"
"몇","いくつの","determiner","3","word","사과 ‹몇› 개 드릴까요?","りんご‹何›個あげましょうか？"
"어느","どの","determiner","3","word","‹어느› 나라에서 왔어요?","‹どの›国から来ましたか？"
"다른","別の","determiner","3","word","‹다른› 색깔은 없어요?","‹別の›色はありませんか？"
"같은","同じ","determiner","3","word","우리는 ‹같은› 학교에 다녀요.","私たちは‹同じ›学校に通っています。"
"모든","すべての","determiner","4","word","‹모든› 준비가 끝났어요.","‹すべての›準備が終わりました。"
"그리고","そして","other","1","word","빵을 사고 ‹그리고› 우유도 샀어요.","パンを買って、‹そして›牛乳も買いました。"
"하지만","しかし","other","2","word","가고 싶어요. ‹하지만› 시간이 없어요.","行きたいです。‹しかし›時間がありません。"
"그래서","それで","other","2","word","비가 와요. ‹그래서› 우산을 가져왔어요.","雨が降っています。‹それで›傘を持ってきました。"
"아/어도 되다","〜してもよい","other","3","phrase","여기에 ‹앉아도 돼요›?","ここに‹座ってもいいですか›？"
"아/어서","〜して（理由/順接）","other","3","phrase","‹늦어서› 죄송합니다.","‹遅れて›すみません。"
"아","ああ","interjection","1","word","‹아›, 그렇군요.","‹あ›、そうなんですね。"
"어","えー","interjection","1","word","‹어›, 이게 뭐지?","‹おや›、これは何だ？"
"응","うん","interjection","1","word","‹응›, 나도 알아.","‹うん›、私も知ってるよ。"
"아이고","あいご","interjection","2","word","‹아이고›, 깜빡했네요.","‹アイゴ›、うっかりしていました。"
"어머","おや","interjection","2","word","‹어머›, 정말 예쁘네요!","‹あら›、本当にきれいですね！"
"와","わあ","interjection","1","word","‹와›, 대단해요!","‹わあ›、すごいですね！"
"다행이다","よかった（幸いだ）","interjection","4","word","비가 안 와서 ‹다행이에요›.","雨が降らなくて‹よかったです›。"
"손을 씻다","手を洗う","verb","1","phrase","밥 먹기 전에 ‹손을 씻어요›.","ご飯を食べる前に‹手を洗います›。"
"시간이 나다","時間ができる","verb","3","phrase","주말에 ‹시간이 나면› 같이 가요.","週末に‹時間ができたら›一緒に行きましょう。"
"마음에 들다","気に入る","verb","3","phrase","이 옷이 ‹마음에 들어요›.","この服が‹気に入りました›。"
"잠자리에 들다","床に就く","verb","3","phrase","일찍 ‹잠자리에 들›었어요.","早く‹床に就き›ました。"
"출근하다","出勤する","verb","2","phrase","9시에 ‹출근해›요.","9時に‹出勤し›ます。"
"퇴근하다","退勤する","verb","2","phrase","6시에 ‹퇴근했›어요.","6時に‹退勤し›ました。"
"전화하다","電話する","verb","1","phrase","이따가 ‹전화할›게요.","後で‹電話し›ます。"
"인사하다","あいさつする","verb","2","phrase","선생님께 ‹인사했›어요.","先生に‹挨拶し›ました。"
"사과하다","謝る","verb","3","phrase","친구에게 ‹사과했›어요.","友達に‹謝り›ました。"
"축하하다","祝う","verb","3","phrase","생일을 ‹축하해›요!","誕生日お‹めでとう›！"
"약속하다","約束する","verb","3","phrase","다시는 안 늦기로 ‹약속했›어요.","二度と遅れないと‹約束し›ました。"
"늦다","遅れる","verb","1","word","학교에 ‹늦›지 마세요.","学校に‹遅れ›ないでください。"
"귀가 얇다","人の言いなりだ","other","5","idiom","그는 ‹귀가 얇아›서 잘 속아요.","彼は‹耳が薄い（人の言葉を信じやすい）›ので騙されやすいです。"
"코가 높다","鼻が高い","other","5","idiom","‹코가 높›은 사람이에요.","‹鼻が高い（プライドが高い）›人です。"
"손이 크다","気前がいい","other","5","idiom","우리 할머니는 ‹손이 크›세요.","うちのおばあちゃんは‹手が大きい（気前がいい）›です。"
"눈치가 빠르다","空気が読める","other","5","idiom","동생은 ‹눈치가 빨라›요.","妹（弟）は‹勘が鋭い（空気が読める）›です。"
"입이 가볍다","口が軽い","other","5","idiom","그 사람은 ‹입이 가벼우›니 조심하세요.","あの人は‹口が軽い›ので気をつけてください。"
"입이 무겁다","口が堅い","adj","5","idiom","그는 ‹입이 무거워서› 비밀을 잘 지켜요.","彼は‹口が堅くて›秘密をよく守ります。"
"눈이 높다","目が肥えている","adj","5","idiom","그 사람은 ‹눈이 높아서› 고르기 어려워요.","その人は‹目が肥えていて›選ぶのが難しいです。"
"발이 넓다","顔が広い","adj","6","idiom","선배는 ‹발이 넓어서› 아는 사람이 많아요.","先輩は‹顔が広くて›知り合いが多いです。"
